id,title,subtitle,content,price,category,photo,section
47,Rice with Squids in their Own Ink,Arroz con Calamares en su Tinta,,8,Seafood,,everyday
48,Chicken Soup,Sopa de Pollo,,5.5,monday,,daily
49,Grounded Beef Cuban Style,Picadillo a la Habanera,,8,monday,,daily
50,Baked Chicken, Pollo al Horno,,8,monday,,daily
51,Braised Pork Chunks,Masas de Cerdo,,8,monday,,daily
52,Tuna Steack in Garlic Sauce,Atún Steak al Ajillo,,12,monday,,daily
53,Beef Soup, Sopa de Res,,5.5,tuesday,,daily
54,Pork Chops on the Griddle,Chuletas a la Plancha,,8.5,tuesday,,daily
55,Chicken Breast in Creamy Mushrooms,Pechuga de Pollo al Champiñón,,8.5,tuesday,,daily
56,Beef Stew,Carne con Papas,,8.5,tuesday,,daily
57,Shrimps in Creole Sauce,Camarones Enchilados,,13,tuesday,,daily
58,Mondongo Soup,,,5.5,wednesday,,daily
59,Chicken Fricassee,Fricasse de Pollo,,8,wednesday,,daily
60,Shredded Beef Cuban Style,Ropa Vieja,,8.5,wednesday,,daily
61,Breaded Pork Loin.,Lomo de Cerdo Escalop,,8.5,wednesday,,daily
62,Tuna Steak in Red Peppers Sauce,Atún Steak en Salsa de Pimientos,,12,wednesday,,daily
63,Chicken and Beef Mix Soup,Sopa Cruzado de Res y Pollo,,5.5,thursday,,daily
64,Baked Pork Ribs,Costillas al Horno,,8,thursday,,daily
65,Yellow Rice with Chicken,Arroz Amarillo con Pollo,,8,thursday,,daily
66,Pepper Steak,Salteado de Res,,8.5,thursday,,daily
67,Baked Beef Brisket,Carne Horneada a la Cubana,,8.5,thursday,,daily
68,Fish in Lime Sauce,Pescado al Limón,,9,thursday,,daily
69,Fish Soup,Sopa de Pescado,,6.5,friday,,daily
70,Boneless Fried Chicken Chunks,Chicharrón de Pollo,,8,friday,,daily
71,Pork Fricasse Stew,Fricasse de Cerdo,,8,friday,,daily
72,Rice with Squids in their Own Ink,Arroz con Calamares en su Tinta,,8,friday,,daily
73,Shredded Beef Sauted with Onions,Vaca Frita,,8.5,friday,,daily
74,Breaded Fish,Pescado Empanizado,,9,friday,,daily
75,Beef Soup,Sopa de Res,,5.5,saturday,,daily
76,Yellow Pork Rice,Arroz Amarillo con Cerdo,,8,saturday,,daily
77,Baked Pork Ribs, Costillas de Cerdo al Horno,,8,saturday,,daily
78,Grounded Beef Cuban Style,Picadillo de Res a la Habanera,,8,saturday,,daily
79,Italian Style Liver,Hígado a la Italiana,,8,saturday,,daily
80,Chicken Breast Spain Style,Pollo a la Española,,8.5,saturday,,daily
81,Shrimps in Ceole Sauce,Camarones Enchilados,,13,saturday,,daily
